species,country_of_origin,region,variety,processing_method,aroma,flavor,aftertaste,acidity,body,balance,clean_cup,sweetness,altitude_low_meters,altitude_high_meters
arabica,ethiopia,guji_hambela,unknown,washed,8.67,8.83,8.67,8.75,8.5,8.42,10.0,10.0,1950,2200
arabica,ethiopia,guji_hambela,other,washed,8.75,8.67,8.5,8.58,8.42,8.42,10.0,10.0,1950,2200
arabica,ethiopia,oromia,unknown,natural,8.17,8.58,8.42,8.42,8.5,8.25,10.0,10.0,1800,2200
arabica,ethiopia,guji_hambela,other,washed,8.25,8.5,8.25,8.5,8.42,8.33,10.0,10.0,1950,2200
arabica,ethiopia,snnp/kaffa_zone,other,natural,8.08,8.58,8.5,8.5,7.67,8.42,10.0,10.0,1795,1850
arabica,ethiopia,oromia,unknown,natural,8.17,8.67,8.25,8.5,7.75,8.17,10.0,10.0,1855,1955
arabica,united_states,antioquia,other,washed,8.25,8.42,8.17,8.33,8.08,8.17,10.0,10.0,1872,1872
arabica,united_states,antioquia,other,washed,8.08,8.67,8.33,8.42,8.0,8.08,10.0,10.0,1943,1943
arabica,united_states,antioquia,other,washed,8.0,8.5,8.58,8.17,8.17,8.0,10.0,10.0,2080,2080
arabica,china,yunnan,catimor,washed,8.42,8.25,8.08,8.17,7.92,8.0,10.0,10.0,1450,1450
arabica,ethiopia,gedio,yirgacheffe,natural,8.17,8.17,8.0,8.17,8.08,8.33,10.0,10.0,1700,2000
arabica,united_states,antioquia,other,washed,8.0,8.25,8.08,8.5,8.25,8.0,10.0,10.0,2019,2019
arabica,costa_rica,san_ramon,caturra,washed,8.08,8.25,8.0,8.17,8.0,8.33,10.0,10.0,1300,1300
arabica,mexico,xalapa,other,washed,8.17,8.25,8.17,8.0,7.83,8.17,10.0,10.0,1320,1320
arabica,united_states,antioquia,other,washed,8.25,8.33,8.17,8.17,7.83,8.17,10.0,10.0,2112,2112
arabica,brazil,south_of_minas,bourbon,natural,8.5,8.5,8.0,8.0,8.0,8.0,10.0,10.0,1250,1250
arabica,uganda,kapchorwa_eastern,sl14,washed,8.42,8.17,8.17,8.17,7.83,7.92,10.0,10.0,1950,1950
