slug,name,roaster,roast,country_of_origin,desc_1,desc_2,latitude,longitude,rating,aroma,acid,body,flavor,aftertaste,region_africa_arabia,region_caribbean,region_central_america,region_hawaii,region_asia_pacific,region_south_america,type_espresso,type_organic,type_fair_trade,type_decaffeinated,type_pod_capsule,type_blend,type_estate
/review/ethiopia-deri-kochoha-2,Ethiopia Deri Kochoha,Flight Coffee Co.,Medium-Light,Ethiopia,"Bright, crisp, sweetly tart. Citrus medley, cacao nib, pink peppercorn, dogwood, almond in aroma and cup. Sweettart structure with lively acidity; crisp, satiny mouthfeel. The short finish is intense with notes of citrus and pink peppercorn, while the long softens to almondtoned florals.","From the Deri Kochoha mill in the Hagere Maryame District, a little south of the famous Yirgacheffe region, where coffees largely from trees of indigenous varieties long grown in the region are subject to classically rigorous, traditional processing and drying procedures. This is a wetprocessed or washed coffee, meaning the fruit skin and pulp were removed from the beans immediately after harvesting and before drying. Flight Coffee is a coffeeloving, qualityfocused roasting company based in Bedford, New Hampshire. Visit www.flightcoffeeco.com or call 6038366228 for more information.",6.7678,35.6343712,93,9.0,8.0,9.0,9.0,8.0,1,0,0,0,0,0,0,0,0,0,0,0,0
/review/kenya-ruthaka-peaberry,Kenya Ruthaka Peaberry,Temple Coffee and Tea,Medium,Kenya,"Deeply sweet, richly savory. Dark chocolate, pistachio, red currant jam, honeysuckle, a hint of marjoram in aroma and cup. Balanced, sweetly savory structure with elegant, lilting acidity; lush, syrupy mouthfeel. The resonant finish consolidates to notes of dark chocolate and red currant, with undertones of crisp marjoram.","Despite challenges ranging from contested government coffee policy and urban encroachment on prime coffee lands to chronically unstable weather, Kenya continues to produce some of the worlds most elegant and distinctive coffees. This particular sample consists entirely of peaberries, a kind of bean that results when the coffee fruit develops only a single, oval bean rather than the usual pair of flatsided beans. Peaberries produce a somewhat different often better cup than normal beans from the same crop, from which they may or may not be separated during grading. Temple Coffee is a qualityfocused retail and wholesale specialty roaster active in Sacramento, California since 2005. Committed to sourcing, roasting and brewing the finest coffees, Temple features coffee from distinguished single estates and cooperatives around the world. Visit www.templecoffee.com or call 9164541282 for more information.",1.4419683,38.4313975,95,9.0,8.0,9.0,10.0,8.0,1,0,0,0,0,0,0,0,0,0,0,0,0
/review/ethiopia-gora-kone-sidamo,Ethiopia Gora Kone Sidamo,Temple Coffee and Tea,Medium-Light,Ethiopia,"Fruitforward, richly chocolaty. Raspberry coulis, chocolate fudge, brandy, cedar, mace in aroma and cup. Sweettart structure with gentle, rounded acidity; full, creamy mouthfeel. Fruittoned finish: think berries enveloped in chocolate, with a hint of mace in the long.","Southern Ethiopia coffees like this one are largely produced from distinctive indigenous Ethiopian varieties of Arabica long grown in the region. Like most southern Ethiopia coffees, this coffee was produced by villagers on small garden plots interplanted with food and other subsistence crops. This is a dryprocessed or natural version, meaning the beans were dried inside the fruit rather than after the fruit has been removed, as is the case with wetprocessed or washed coffees. Temple Coffee is a qualityfocused retail and wholesale specialty roaster active in Sacramento, California since 2005. Committed to sourcing, roasting and brewing the finest coffees, Temple features coffee from distinguished single estates and cooperatives around the world. Visit www.templecoffee.com or call 9164541282 for more information.",6.7678,35.6343712,93,9.0,8.0,9.0,9.0,8.0,1,0,0,0,0,0,0,0,0,0,0,0,0
/review/honduras-las-flores-parainema,Honduras Las Flores Parainema,Café Grumpy,Medium-Light,Honduras,"Spicetoned, complex, richly bittersweet. Blackberry, dark chocolate, blood orange zest, ginger blossom, oak in aroma and cup. Bittersweet in structure with bright, hightoned acidity; plush, syrupy mouthfeel. The resonant finish is redolent with notes of cocoatoned blackberry and spicy ginger blossom.","Produced by César Fernandez of El Cielito farm entirely of the Parainema variety of Arabica, a hybrid developed by the Honduran Coffee Institute for its resistance to drought and disease. This is a wetprocessed or washed coffee, meaning the fruit skin and pulp were removed from the beans immediately after harvesting and before drying. An integral part of New Yorks coffee renaissance, Brooklynbased Café Grumpy opened its first café in 2005 and has since expanded to eight locations in New York, including a roasting facility, and one in Miami. Visit www.cafegrumpy.com or call 7183830748 for more information.",15.2572432,-86.0755145,94,9.0,8.0,9.0,9.0,8.0,0,0,1,0,0,0,0,0,0,0,0,0,0
/review/kivu-dr-congo,Kivu DR Congo,JBC Coffee Roasters,Medium-Light,"Congo, The Democratic Republic of the","Hightoned, balanced, crisply sweet. Apricot, tangerine zest, dark chocolate, honey, rhododendron in aroma and cup. Sweettart structure with juicy, bright acidity; buoyant, syrupy mouthfeel. The rich finish is centered around notes of dark chocolate and tangerine zest, with vanillatoned florals.","Produced entirely from trees of Bourbonrelated varieties of Arabica by members of the SOPACDI coop. Located overlooking Lake Kivu, on the opposite side of the lake from Rwanda, this rapidly growing cooperative now has nearly 6,000 members and apparently is succeeding in its goal to help heal wounds left by the latest in eastern Congos seemingly endless string of horrific rebellions and civil wars. A wetprocessed or washed coffee, meaning the fruit skin and pulp were removed from the beans immediately after harvesting and before drying. This coffee is certified organically grown and certified fair trade, meaning it was purchased at no less than a minimum price determined by the certifying agency to be economically sustainable for the farmers. JBC Coffee Roasters vision is simple: let the coffee lead the way through sourcing and roasting the best and most unique coffees available and rewarding the farmers who grow those coffees with substantial premiums. Visit www.jbccoffeeroasters.com or call 6082565282 for more information.",-2.9814344,23.8222636,94,9.0,8.0,9.0,9.0,8.0,1,0,0,0,0,0,0,1,1,0,0,0,0
/review/santa-luzia-brazil,Santa Luzia Brazil,Coava Coffee Roasters,Medium-Light,Brazil,"Delicate, fruittoned. Dried strawberry, brandy, dark chocolate, cedar, pink peppercorn in aroma and cup. Sweettoned in structure with gentle, round acidity; lightly syrupy mouthfeel. Sweetly fermenty in the finish with notes of berry liqueur and pink peppercorn.","Produced by Jose Oliveira entirely of the Catuai variety of Arabica, and processed by the pulped natural method, meaning that the outer skin of the coffee fruit is removed as it is in the wet or washed process, but all or some of the sticky fruit residue is allowed to dry on the bean and later removed by machine along with the parchment skin. Coava is a Portlandbased coffee roaster, now with a San Diego location as well, that aims to provide quality coffee and education regarding the preparation of good coffee. Visit www.coavacoffee.com or call 5038948134 for more information.",-10.3333333,-53.2,93,9.0,8.0,9.0,9.0,8.0,0,0,0,0,0,1,0,0,0,0,0,0,0
/review/porfirio-castellanos-honduras,Porfirio Castellanos Honduras,Coava Coffee Roasters,Medium-Light,Honduras,"Crisply sweetsavory. Toffee, black cherry, rosewood, walnut, violetlike flowers in aroma and cup. Richly bittersweet structure with juicy acidity; satinysmooth mouthfeel. The crisp finish consolidates to notes of black cherry and walnut.","Produced by Porfirio Castellanos entirely of the Pacas variety of Arabica. This is a wetprocessed or washed coffee, meaning the fruit skin and pulp were removed from the beans immediately after harvesting and before drying. Coava is a Portlandbased coffee roaster, now with a San Diego location as well, that aims to provide quality coffee and education regarding the preparation of good coffee. Visit www.coavacoffee.com or call 5038948134 for more information.",15.2572432,-86.0755145,93,9.0,8.0,8.0,9.0,8.0,0,0,1,0,0,0,0,0,0,0,0,0,0
/review/ethiopia-yirgacheffe-awassa,Ethiopia Yirgacheffe Awassa,Paradise Roasters,Medium-Light,Ethiopia,"Bright, crisply sweet, chocolaty. Lemon blossom, nougat, roasted cacao nib, pomegranate, violet in aroma and cup. Balanced, sweetly tart structure with juicy, bright acidity; satinysmooth mouthfeel. The resonant finish centers around cocoa and lightlyexpressed citrus notes. ","Yirgacheffe is a coffee region in southern Ethiopia that produces distinctive coffees from traditional indigenous varieties of Arabica long grown in the region. Yirgacheffe coffees like this one processed by the wet or washed method fruit skin and pulp are removed before drying typically express great aromatic complexity and intensity with a particular emphasis on floral notes. Paradise Roasters specializes in microlot Arabica and Robusta coffees from Asia and other emerging origins. The company prides itself on quality and freshness, craftroasting coffees in small batches only after orders are placed. Visit www.paradiseroasters.com for more information.",6.7678,35.6343712,93,9.0,8.0,8.0,9.0,8.0,1,0,0,0,0,0,0,0,0,0,0,0,0
/review/panama-ninety-plus-perci-lot-50,Panama Ninety Plus Perci Lot 50,Bird Rock Coffee Roasters,Medium-Light,Panama,"Wild, unruly, utterly brilliant and original. Intensely and intricately floraltoned: opulent lily through delicate violet with a shifting bouquet of possibilities between. At the heart of aroma and flavor is a cidery, brandyish compote of fruitapple, passion fruit, lycheerounded by a fine, cocoatoned chocolate. The structure is shifty, simultaneously sweet, crisply bitterish and tart, the mouthfeel plump and syrupy. The finish rings on with continuing layers of fruit, flowers, cocoa and coconut.   ","The intensity and complexity of this extraordinary coffee are owing both to tree variety and processing method. The variety is the rare Ethiopiaderived botanical variety Gesha also spelled Geisha. With its generally elongated beans and distinctive floral and crisp, often chocolaty cup, the Gesha continues to distinguish itself as one of the worlds most unique coffee varieties. Joseph Brodsky and his colleagues processed this Gesha at Ninety Plus Gesha Estates in Panama using a refined and innovative processing procedure involving fermenting the whole, freshlypicked coffee fruit at high temperatures using a special yeast strain before drying it, still in the whole fruit. Bird Rock Coffee Roasters is a retailer and wholesaler focused on organic and socially responsible coffees; it was awarded the 2012 MicroRoaster of the Year title by Roast Magazine. Visit www.birdrockcoffee.com or call 8585511707 for more information.",8.559559,-81.1308434,97,10.0,9.0,10.0,10.0,9.0,0,0,1,0,0,0,0,0,0,0,0,0,1
/review/colombia-sidra,Colombia Sidra,Kaffetre,Medium-Light,Colombia,"Floraltoned, richly sweet. Narcissus, roasted cacao nib, toffee, apricot, sandalwood in aroma and cup. Deeply sweettart structure with juicy, bright acidity; full, syrupy mouthfeel. Resonant finish centers around cocoatoned narcissus and apricot.","Produced at La Gallera Estate entirely from trees of the Sidra variety of Arabica, a hybrid of the old and respected varieties Red Bourbon and Typica. This is a wetprocessed or washed coffee, meaning the fruit skin and pulp were removed from the beans immediately after harvesting and before drying. Kaffetre is a microroaster and cafe in central Taiwan, operated by Rex Chen, an authorized SCA trainer and Licensed Qgrader. For more information, visit https://www.facebook.com/pg/kaffetre.tw/about/?ref=page_internal or call 886916997779.",4.099917,-72.9088133,94,9.0,8.0,9.0,9.0,8.0,0,0,0,0,0,1,0,0,0,0,0,0,1
