species,country_of_origin,region,variety,processing_method,aroma,flavor,aftertaste,acidity,body,balance,clean_cup,sweetness,altitude_low_meters,altitude_high_meters
Arabica,Ethiopia,guji-hambela,Unknown,Washed ,8.67,8.83,8.67,8.75,8.5,8.42,10.0,10.0,1950,2200
Arabica,Ethiopia,guji-hambela,Other,Washed ,8.75,8.67,8.5,8.58,8.42,8.42,10.0,10.0,1950,2200
Arabica,Ethiopia,oromia,Unknown,Natural ,8.17,8.58,8.42,8.42,8.5,8.25,10.0,10.0,1800,2200
Arabica,Ethiopia,guji-hambela,Other,Washed ,8.25,8.5,8.25,8.5,8.42,8.33,10.0,10.0,1950,2200
Arabica,Ethiopia,kaffa zone,Other,Natural ,8.08,8.58,8.5,8.5,7.67,8.42,10.0,10.0,1795,1850
Arabica,Ethiopia,oromia,Unknown,Natural ,8.17,8.67,8.25,8.5,7.75,8.17,10.0,10.0,1855,1955
Arabica,United States,antioquia,Other,Washed ,8.25,8.42,8.17,8.33,8.08,8.17,10.0,10.0,1872,1872
Arabica,United States,antioquia,Other,Washed ,8.08,8.67,8.33,8.42,8.0,8.08,10.0,10.0,1943,1943
Arabica,United States,antioquia,Other,Washed ,8.0,8.5,8.58,8.17,8.17,8.0,10.0,10.0,2080,2080
Arabica,China,yunnan,Catimor,Washed ,8.42,8.25,8.08,8.17,7.92,8.0,10.0,10.0,1450,1450
Arabica,Ethiopia,gedio,Yirgacheffe,Natural ,8.17,8.17,8.0,8.17,8.08,8.33,10.0,10.0,1700,2000
Arabica,United States,antioquia,Other,Washed ,8.0,8.25,8.08,8.5,8.25,8.0,10.0,10.0,2019,2019
Arabica,Costa Rica,san ramon,Caturra,Washed ,8.08,8.25,8.0,8.17,8.0,8.33,10.0,10.0,1300,1300
Arabica,Mexico,xalapa,Other,Washed ,8.17,8.25,8.17,8.0,7.83,8.17,10.0,10.0,1320,1320
Arabica,United States,antioquia,Other,Washed ,8.25,8.33,8.17,8.17,7.83,8.17,10.0,10.0,2112,2112
Arabica,Brazil,south of minas,Bourbon,Natural ,8.5,8.5,8.0,8.0,8.0,8.0,10.0,10.0,1250,1250
