name,origin,slug,aroma,acid,body,flavor,aftertaste,desc_1,desc_3,desc_4,text
1321,Other,/review/ethiopia-deri-kochoha-2,9.0,8.0,9.0,9.0,8.0,"Bright, crisp, sweetly tart. Citrus medley, cacao nib, pink peppercorn, dogwood, almond in aroma and cup. Sweet-tart structure with lively acidity; crisp, satiny mouthfeel. The short finish is intense with notes of citrus and pink peppercorn, while the long softens to almond-toned florals.","A poised and melodic wet-processed Ethiopia coffee, centered on complex citrus notes supported by sweet spice and cocoa.",,"Bright, crisp, sweetly tart. Citrus medley, cacao nib, pink peppercorn, dogwood, almond in aroma and cup. Sweet-tart structure with lively acidity; crisp, satiny mouthfeel. The short finish is intense with notes of citrus and pink peppercorn, while the long softens to almond-toned florals. A poised and melodic wet-processed Ethiopia coffee, centered on complex citrus notes supported by sweet spice and cocoa."
1201,Northern Thailand,/review/espresso-14,8.0,,8.0,8.0,8.0,"Evaluated as espresso. Deeply rich, sweetly roast-rounded. Dark chocolate, gently scorched cedar, magnolia, black cherry, almond in aroma and small cup. Full, satiny mouthfeel; crisp, resonant finish centered around dark chocolate and black cherry notes, underscored by cedar-like aromatic wood. In three parts milk, the chocolate blooms and and notes of black cherry and magnolia resurface.","A rich, resonant espresso from Thailand, especially attractive in cappuccino-scaled milk.",,"Evaluated as espresso. Deeply rich, sweetly roast-rounded. Dark chocolate, gently scorched cedar, magnolia, black cherry, almond in aroma and small cup. Full, satiny mouthfeel; crisp, resonant finish centered around dark chocolate and black cherry notes, underscored by cedar-like aromatic wood. In three parts milk, the chocolate blooms and and notes of black cherry and magnolia resurface. A rich, resonant espresso from Thailand, especially attractive in cappuccino-scaled milk."
2600,"Nyeri growing region, south-central Kenya",/review/kenya-ruthaka-peaberry,9.0,8.0,9.0,10.0,8.0,"Deeply sweet, richly savory. Dark chocolate, pistachio, red currant jam, honeysuckle, a hint of marjoram in aroma and cup. Balanced, sweetly savory structure with elegant, lilting acidity; lush, syrupy mouthfeel. The resonant finish consolidates to notes of dark chocolate and red currant, with undertones of crisp marjoram.","A high-toned, nuanced Kenya cup, classic in its presentation of sweet-tart currant and deep chocolate notes.",,"Deeply sweet, richly savory. Dark chocolate, pistachio, red currant jam, honeysuckle, a hint of marjoram in aroma and cup. Balanced, sweetly savory structure with elegant, lilting acidity; lush, syrupy mouthfeel. The resonant finish consolidates to notes of dark chocolate and red currant, with undertones of crisp marjoram. A high-toned, nuanced Kenya cup, classic in its presentation of sweet-tart currant and deep chocolate notes."
1344,Other,/review/ethiopia-gora-kone-sidamo,9.0,8.0,9.0,9.0,8.0,"Fruit-forward, richly chocolaty. Raspberry coulis, chocolate fudge, brandy, cedar, mace in aroma and cup. Sweet-tart structure with gentle, rounded acidity; full, creamy mouthfeel. Fruit-toned finish: think berries enveloped in chocolate, with a hint of mace in the long.","A playful, unrestrained fruit bomb of a coffee, rich with berry and fudgy chocolate notes throughout.",,"Fruit-forward, richly chocolaty. Raspberry coulis, chocolate fudge, brandy, cedar, mace in aroma and cup. Sweet-tart structure with gentle, rounded acidity; full, creamy mouthfeel. Fruit-toned finish: think berries enveloped in chocolate, with a hint of mace in the long. A playful, unrestrained fruit bomb of a coffee, rich with berry and fudgy chocolate notes throughout."
3789,Other,/review/specialty-coffee-blend-espresso,9.0,,8.0,9.0,8.0,"Evaluated as espresso. Rich, chocolaty, sweetly tart. Dark chocolate, peach, Szechuan peppercorn, orange zest, myrrh in aroma and small cup. Smooth, satiny mouthfeel; resonant, chocolaty finish. In three parts milk, notes of Szechuan peppercorn and dark chocolate harmonize sweetly, with undercurrents of peach and myrrh.","An espresso blend in which spice notes — in particular, a peppery element reminiscent of sweet Szechuan peppercorns — figure prominently and are in harmonious balance with the rich sweetness of the coffee, both in the straight shot and in milk.",,"Evaluated as espresso. Rich, chocolaty, sweetly tart. Dark chocolate, peach, Szechuan peppercorn, orange zest, myrrh in aroma and small cup. Smooth, satiny mouthfeel; resonant, chocolaty finish. In three parts milk, notes of Szechuan peppercorn and dark chocolate harmonize sweetly, with undercurrents of peach and myrrh. An espresso blend in which spice notes — in particular, a peppery element reminiscent of sweet Szechuan peppercorns — figure prominently and are in harmonious balance with the rich sweetness of the coffee, both in the straight shot and in milk."
2144,Other,/review/honduras-las-flores-parainema,9.0,8.0,9.0,9.0,8.0,"Spice-toned, complex, richly bittersweet. Blackberry, dark chocolate, blood orange zest, ginger blossom, oak in aroma and cup. Bittersweet in structure with bright, high-toned acidity; plush, syrupy mouthfeel. The resonant finish is redolent with notes of cocoa-toned blackberry and spicy ginger blossom.","A subtly but strikingly original Honduras coffee: deep, complex and sweetly spice-toned.",,"Spice-toned, complex, richly bittersweet. Blackberry, dark chocolate, blood orange zest, ginger blossom, oak in aroma and cup. Bittersweet in structure with bright, high-toned acidity; plush, syrupy mouthfeel. The resonant finish is redolent with notes of cocoa-toned blackberry and spicy ginger blossom. A subtly but strikingly original Honduras coffee: deep, complex and sweetly spice-toned."
2648,Other,/review/kivu-dr-congo,9.0,8.0,9.0,9.0,8.0,"High-toned, balanced, crisply sweet. Apricot, tangerine zest, dark chocolate, honey, rhododendron in aroma and cup. Sweet-tart structure with juicy, bright acidity; buoyant, syrupy mouthfeel. The rich finish is centered around notes of dark chocolate and tangerine zest, with vanilla-toned florals.","A richly sweet, elegantly composed Bourbon cup from the Democratic Republic of the Congo; multi-layered and deeply engaging.",,"High-toned, balanced, crisply sweet. Apricot, tangerine zest, dark chocolate, honey, rhododendron in aroma and cup. Sweet-tart structure with juicy, bright acidity; buoyant, syrupy mouthfeel. The rich finish is centered around notes of dark chocolate and tangerine zest, with vanilla-toned florals. A richly sweet, elegantly composed Bourbon cup from the Democratic Republic of the Congo; multi-layered and deeply engaging."
3700,Other,/review/santa-luzia-brazil,9.0,8.0,9.0,9.0,8.0,"Delicate, fruit-toned. Dried strawberry, brandy, dark chocolate, cedar, pink peppercorn in aroma and cup. Sweet-toned in structure with gentle, round acidity; lightly syrupy mouthfeel. Sweetly fermenty in the finish with notes of berry liqueur and pink peppercorn.","A quiet, integrated fruit-forward coffee from Brazil, with leading notes of brandy-toned strawberry and chocolate.",,"Delicate, fruit-toned. Dried strawberry, brandy, dark chocolate, cedar, pink peppercorn in aroma and cup. Sweet-toned in structure with gentle, round acidity; lightly syrupy mouthfeel. Sweetly fermenty in the finish with notes of berry liqueur and pink peppercorn. A quiet, integrated fruit-forward coffee from Brazil, with leading notes of brandy-toned strawberry and chocolate."
3508,Other,/review/porfirio-castellanos-honduras,9.0,8.0,8.0,9.0,8.0,"Crisply sweet-savory. Toffee, black cherry, rosewood, walnut, violet-like flowers in aroma and cup. Richly bittersweet structure with juicy acidity; satiny-smooth mouthfeel. The crisp finish consolidates to notes of black cherry and walnut.","A rich, savory-leaning Pacas cup with tremendous depth of aroma and flavor.",,"Crisply sweet-savory. Toffee, black cherry, rosewood, walnut, violet-like flowers in aroma and cup. Richly bittersweet structure with juicy acidity; satiny-smooth mouthfeel. The crisp finish consolidates to notes of black cherry and walnut. A rich, savory-leaning Pacas cup with tremendous depth of aroma and flavor."
1539,"Yirgacheffe growing region, south-central Ethiopia",/review/ethiopia-yirgacheffe-awassa,9.0,8.0,8.0,9.0,8.0,"Bright, crisply sweet, chocolaty. Lemon blossom, nougat, roasted cacao nib, pomegranate, violet in aroma and cup. Balanced, sweetly tart structure with juicy, bright acidity; satiny-smooth mouthfeel. The resonant finish centers around cocoa and lightly-expressed citrus notes. ","A high-toned, juicy Yirgacheffe cup, classic in its balance of bright fruit, sweet floral and cocoa tones.",,"Bright, crisply sweet, chocolaty. Lemon blossom, nougat, roasted cacao nib, pomegranate, violet in aroma and cup. Balanced, sweetly tart structure with juicy, bright acidity; satiny-smooth mouthfeel. The resonant finish centers around cocoa and lightly-expressed citrus notes.  A high-toned, juicy Yirgacheffe cup, classic in its balance of bright fruit, sweet floral and cocoa tones."
3400,Other,/review/panama-ninety-plus-perci-lot-50,10.0,9.0,10.0,10.0,9.0,"Wild, unruly, utterly brilliant and original. Intensely and intricately floral-toned: opulent lily through delicate violet with a shifting bouquet of possibilities between. At the heart of aroma and flavor is a cidery, brandyish compote of fruit–apple, passion fruit, lychee–rounded by a fine, cocoa-toned chocolate. The structure is shifty, simultaneously sweet, crisply bitterish and tart, the mouthfeel plump and syrupy. The finish rings on with continuing layers of fruit, flowers, cocoa and coconut.   ","The grand floral and cocoa complexity of the Gesha variety is amplified here by an innovative processing method that turns mouthfeel big and buoyant and the fruit lush, intense and giddily brandy-toned.",,"Wild, unruly, utterly brilliant and original. Intensely and intricately floral-toned: opulent lily through delicate violet with a shifting bouquet of possibilities between. At the heart of aroma and flavor is a cidery, brandyish compote of fruit–apple, passion fruit, lychee–rounded by a fine, cocoa-toned chocolate. The structure is shifty, simultaneously sweet, crisply bitterish and tart, the mouthfeel plump and syrupy. The finish rings on with continuing layers of fruit, flowers, cocoa and coconut.    The grand floral and cocoa complexity of the Gesha variety is amplified here by an innovative processing method that turns mouthfeel big and buoyant and the fruit lush, intense and giddily brandy-toned."
656,Other,/review/colombia-sidra,9.0,8.0,9.0,9.0,8.0,"Floral-toned, richly sweet. Narcissus, roasted cacao nib, toffee, apricot, sandalwood in aroma and cup. Deeply sweet-tart structure with juicy, bright acidity; full, syrupy mouthfeel. Resonant finish centers around cocoa-toned narcissus and apricot.","An engaging coffee from the unusual Sidra variety—rich, floral, balanced and bright.",,"Floral-toned, richly sweet. Narcissus, roasted cacao nib, toffee, apricot, sandalwood in aroma and cup. Deeply sweet-tart structure with juicy, bright acidity; full, syrupy mouthfeel. Resonant finish centers around cocoa-toned narcissus and apricot. An engaging coffee from the unusual Sidra variety—rich, floral, balanced and bright."
583,Other,/review/colombia-geisha-2,9.0,8.0,9.0,9.0,8.0,"Deep, richly sweet-savory. Black currant, fine musk, toffee, jasmine, celery seed in aroma and cup. Sweet-savory in structure with bright, juicy acidity; plush, syrupy mouthfeel. The flavor-saturated finish is equal parts sweet-leaning (black currant, toffee, jasmine) and savory (musk, celery seed). ",A splendid Colombia Geisha: deep floral and fruit tones juxtaposed with underlying umami intrigue.,,"Deep, richly sweet-savory. Black currant, fine musk, toffee, jasmine, celery seed in aroma and cup. Sweet-savory in structure with bright, juicy acidity; plush, syrupy mouthfeel. The flavor-saturated finish is equal parts sweet-leaning (black currant, toffee, jasmine) and savory (musk, celery seed).  A splendid Colombia Geisha: deep floral and fruit tones juxtaposed with underlying umami intrigue."
3714,Other,/review/select-reserve-guatemala-el-aceituno-el-bonito-microlot,8.0,8.0,8.0,9.0,8.0,"Richly sweet, spice-toned. Cocoa powder, cinnamon, oak, lily, lemongrass in aroma and cup. Sweet structure with gentle, round acidity; full, velvety mouthfeel. The finish centers on cocoa and lily-like flowers with a hint of lemongrass.",A resonantly sweet Guatemala cup with notes of warming spices and cocoa powder throughout.,,"Richly sweet, spice-toned. Cocoa powder, cinnamon, oak, lily, lemongrass in aroma and cup. Sweet structure with gentle, round acidity; full, velvety mouthfeel. The finish centers on cocoa and lily-like flowers with a hint of lemongrass. A resonantly sweet Guatemala cup with notes of warming spices and cocoa powder throughout."
1766,Other,/review/foothills-series-hambela-ethiopia,8.0,8.0,8.0,9.0,8.0,"Fruit-toned, richly sweet. Strawberry, dark chocolate, nutmeg, grapefruit zest, fresh-cut fir in aroma and cup. Sweet-toned structure with round, gentle acidity; satiny-smooth mouthfeel. The gently drying finish centers around fresh-cut fir with strawberry and nutmeg suggestions.","A fruit-forward, natural-processed Ethiopia cup with a throughline of sweet aromatic wood notes.",,"Fruit-toned, richly sweet. Strawberry, dark chocolate, nutmeg, grapefruit zest, fresh-cut fir in aroma and cup. Sweet-toned structure with round, gentle acidity; satiny-smooth mouthfeel. The gently drying finish centers around fresh-cut fir with strawberry and nutmeg suggestions. A fruit-forward, natural-processed Ethiopia cup with a throughline of sweet aromatic wood notes."
1346,Other,/review/ethiopia-gugi,9.0,8.0,9.0,9.0,8.0,"Fruit-toned, richly chocolaty. Dark chocolate, dried blueberry, freesia-like flowers, honey, cedar in aroma and cup. Sweet-tart structure with round, gentle acidity; full, syrupy mouthfeel. The finish consolidates to blueberry and chocolate notes, with a hint of cedar.","A cleanly crisp yet plushly fruit-toned, natural-processed Ethiopia cup.",,"Fruit-toned, richly chocolaty. Dark chocolate, dried blueberry, freesia-like flowers, honey, cedar in aroma and cup. Sweet-tart structure with round, gentle acidity; full, syrupy mouthfeel. The finish consolidates to blueberry and chocolate notes, with a hint of cedar. A cleanly crisp yet plushly fruit-toned, natural-processed Ethiopia cup."
